Código IBGE;Municí­pios;Microregião;Estado;Região Geográfica;Área km²;População;Domicílios;PIB Total (R$ mil);IDH - Índice de Desenv. Humano;Renda Média;Renda Nominal;PEA Dia;IDH - Dimensção Educação;IDH - Dimensção Longevidade;Atualização
5209408;Guarani de Goiás;Vão do Paranã;GO;Centro-Oeste;1229,15;3846;1172;53235,01;0,64;1903,80;2231697,86;1637;0,56;0,81
5209457;Guarinos;Ceres;GO;Centro-Oeste;595,87;1737;637;58751,31;0,65;1891,57;1206207,60;964;0,56;0,82
5209606;Heitoraí;Anápolis;GO;Centro-Oeste;229,64;3733;1310;56442,02;0,69;2434,90;3191865,09;1652;0,62;0,81
5209705;Hidrolândia;Goiânia;GO;Centro-Oeste;943,90;22124;7206;1145750,93;0,71;3899,97;28104506,60;15684;0,60;0,83
5209804;Hidrolina;Ceres;GO;Centro-Oeste;580,39;3508;1255;55913,20;0,68;2731,47;3428925,88;1344;0,58;0,82
5209903;Iaciara;Vão do Paranã;GO;Centro-Oeste;1550,37;14082;4021;161470,24;0,64;2486,63;10000787,94;5215;0,53;0,83
5209937;Inaciolândia;Meia Ponte;GO;Centro-Oeste;688,40;6235;2118;209806,48;0,69;3248,01;6880561,11;2883;0,59;0,82
5209952;Indiara;Vale do Rio dos Bois;GO;Centro-Oeste;956,47;15787;5175;318488,03;0,70;3466,73;17942020,66;8111;0,59;0,84
5210000;Inhumas;Anápolis;GO;Centro-Oeste;613,23;53259;17623;1136229,49;0,72;3707,77;65345041,28;31298;0,62;0,84
5210109;Ipameri;Catalão;GO;Centro-Oeste;4368,99;27174;9324;1486439,57;0,70;3471,63;32372580,23;16484;0,59;0,82
5210158;Ipiranga de Goiás;Ceres;GO;Centro-Oeste;241,29;2893;1078;53404,53;0,70;2438,93;2629683,10;1221;0,64;0,82
5210208;Iporá;Iporá;GO;Centro-Oeste;1026,38;31499;11636;658207,28;0,74;3519,41;40952345,34;17309;0,67;0,84
5210307;Israelândia;Iporá;GO;Centro-Oeste;577,48;2786;1020;48569,26;0,71;2855,14;2914675,49;1288;0,65;0,83
5210406;Itaberaí;Anápolis;GO;Centro-Oeste;1457,28;43622;14407;1288948,07;0,72;3572,93;51477153,58;30205;0,61;0,83
5210562;Itaguari;Anápolis;GO;Centro-Oeste;146,64;4685;1710;70411,07;0,69;3104,27;5308559,34;2311;0,60;0,82
5210604;Itaguaru;Anápolis;GO;Centro-Oeste;239,68;5206;1868;77053,29;0,72;3069,39;5733625,10;2355;0,65;0,83
5210802;Itajá;Quirinópolis;GO;Centro-Oeste;2091,40;4475;1565;99163,70;0,69;3291,31;5151244,71;2483;0,57;0,84
